instance,p,n,configLB,configNodeSel,configOB,configValSplit,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel,cpuLbCopy
Forget21-PPP_12_5_1-100_1-100_1-2500_1_50_random_9_9.txt,5,36,LP,breadth,noOB,mofvRevisited2,1,700,36.9956,220913,8.31026,23.696,2.11911,12913,1,48,26.5978,1516,938,4003,0.985897,0.379483,35.4054,0.00175738,0.0547349,0.00169816,0
Forget21-PPP_13_4_1-100_1-100_1-2500_1_50_random_10_10.txt,4,39,LP,breadth,noOB,mofvRevisited2,1,1107,88.4462,502919,23.8152,54.3437,2.18967,42655,1,50,25.5055,5510,2332,13486,2.328,0.960781,84.5047,0.00615694,0.180065,0.00588655,0
Forget21-PPP_13_4_1-100_1-100_1-2500_1_50_random_1_1.txt,4,39,LP,breadth,noOB,mofvRevisited2,1,1920,49.216,270889,12.6026,29.3598,1.38457,21331,1,46,26.2617,1567,2356,6743,2.17322,1.2486,45.4657,0.00319099,0.0939335,0.00294976,0
Forget21-PPP_13_4_1-100_1-100_1-2500_1_50_random_2_2.txt,4,39,LP,breadth,noOB,mofvRevisited2,1,2360,100.396,470488,21.8373,48.404,2.20359,42911,1,49,28.1499,7058,3770,10628,17.9542,5.09573,76.646,0.0101651,0.199262,0.00704163,0
Forget21-PPP_13_4_1-100_1-100_1-2500_1_50_random_3_3.txt,4,39,LP,breadth,noOB,mofvRevisited2,1,3352,190.884,1071093,49.606,96.5625,4.68867,103821,1,57,34.5016,15434,5962,30515,22.9348,5.62718,160.732,0.0189724,0.456515,0.017334,0
Forget21-PPP_13_4_1-100_1-100_1-2500_1_50_random_4_4.txt,4,39,LP,breadth,noOB,mofvRevisited2,1,2590,67.3068,329648,15.851,35.8636,1.86092,28061,1,47,25.9973,3234,2548,8249,7.44551,3.07534,56.339,0.005392,0.12759,0.00435803,0
Forget21-PPP_13_4_1-100_1-100_1-2500_1_50_random_5_5.txt,4,39,LP,breadth,noOB,mofvRevisited2,1,1288,87.8436,515378,19.3393,57.3118,3.38648,35277,1,53,25.8375,3166,2424,12049,2.52733,1.12995,83.5871,0.00466521,0.156344,0.00490593,0
Forget21-PPP_13_4_1-100_1-100_1-2500_1_50_random_6_6.txt,4,39,LP,breadth,noOB,mofvRevisited2,1,2904,84.5831,464215,21.2926,46.059,2.27954,40689,1,52,28.1183,4570,4847,10928,7.03453,3.34281,73.573,0.00742785,0.181787,0.00615377,0
Forget21-PPP_13_4_1-100_1-100_1-2500_1_50_random_7_7.txt,4,39,LP,breadth,noOB,mofvRevisited2,1,233,9.28308,56790,2.17362,6.24789,0.368175,3893,1,39,17.1705,271,347,1329,0.0164781,0.0310925,9.17575,0.000489876,0.0160806,0.000427414,0
Forget21-PPP_13_4_1-100_1-100_1-2500_1_50_random_8_8.txt,4,39,LP,breadth,noOB,mofvRevisited2,1,1225,72.8903,420833,17.1915,47.4599,2.59651,31923,1,53,28.2807,4779,1996,9187,1.26964,0.728933,70.3855,0.00396652,0.137865,0.00418586,0
Forget21-PPP_13_4_1-100_1-100_1-2500_1_50_random_9_9.txt,4,39,LP,breadth,noOB,mofvRevisited2,1,1246,18.6797,103288,4.44918,12.322,0.6856,7213,1,37,20.7569,287,1432,1888,0.150612,0.229707,18.1826,0.000903698,0.0308401,0.00083405,0
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_10_10.txt,3,63,LP,breadth,noOB,mofvRevisited2,1,229,526.807,2725151,58.8626,429.553,13.9719,104799,1,47,16.8865,12,289,52099,0.11482,0.708099,523.385,0.016722,0.849114,0.0235836,0
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_1_1.txt,3,63,LP,breadth,noOB,mofvRevisited2,1,118,962.517,5122323,156.347,724.263,22.1998,280993,1,60,19.8802,5453,549,134495,0.3431,1.3827,954.997,0.0407732,1.88247,0.190021,0
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_2_2.txt,3,63,LP,breadth,noOB,mofvRevisited2,1,2574,1805.53,9090290,290.94,1337.99,40.5752,562613,1,76,28.416,45860,6125,229322,12.312,7.59767,1774.07,0.0799859,3.75932,0.425616,0
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_3_3.txt,3,63,LP,breadth,noOB,mofvRevisited2,1,1796,1324.92,6507331,172.294,1042.79,32.5231,307853,1,78,27.0719,20730,3812,129385,5.71798,4.52317,1307.76,0.0452759,2.32023,0.101941,0
Forget21-PPP_21_3_1-100_1-100_1-2500_1_50_random_4_4.txt,3,63,LP,breadth,noOB,mofvRevisited2,1,1183,735.778,3798161,88.394,588.904,19.525,162921,1,72,21.5997,4117,3747,73597,1.19342,1.85355,728.95,0.0244273,1.25547,0.0306322,0
